Tuple;Relevance;Wikipedia URL;Wikidata QID;eval1;eval2;eval3;eval4;eval5;eval6;;;;;
find that;0;-;-;FP;FP;FP;TN;TN;TN;;;;;
that the;0;-;-;TN;TN;TN;TN;TN;TN;;;;;
the required;0;-;-;TN;TN;TN;TN;TN;TN;;;;;
required velocity;1/2;...wiki/Velocity;Q11465;FN;FN;FN;FN;FN;FN;;;;;
velocity dispersion;1;...wiki/Velocity_dispersion;Q637450;TP;TP;TP;TP;TP;TP;;;;;
dispersion is;1;...wiki/Dispersion_relation;Q590051;FN;FN;FN;FN;FN;FN;;;;;
is of;0;-;-;TN;TN;TN;TN;TN;TN;;;;;
of the;0;-;-;TN;TN;TN;TN;TN;TN;;;;;
Precision;-;-;-;0.63;0.7;1.0;1.0;1.0;1.0;;;-;;
Recall;-;-;-;0.15;0.21;0.01;0.19;0.04;0.21;;;-;;
F1-measure;-;-;-;0.24;0.32;0.02;0.32;0.08;0.35;;;-;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
